Symbol	GSM8422086	GSM8422087	GSM8422088	GSM8422089	GSM8422091	GSM8422092	GSM8422093	GSM8422094	GSM8422095	GSM8422096	GSM8422097
LRRC47	1901	1624	1628	1776	1815	1644	1835	1554	1686	1627	1690
CEP104	1131	973	884	846	932	968	1075	943	1001	890	935
DFFB	173	182	198	196	222	236	232	224	175	190	215
LOC107984910	32	34	29	43	38	61	49	42	48	41	40
C1orf174	933	822	782	893	940	676	751	745	807	721	860
LINC01134	9	15	20	11	14	16	28	21	15	19	21
LINC01346	0	0	0	0	0	0	1	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0
LOC107985376	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	1	0	1	1	0	0	0	0	0	0
NPHP4	753	643	672	791	822	790	801	717	699	718	731
KCNAB2	567	434	481	523	589	657	704	583	579	593	635
CHD5	1163	1020	983	936	1021	1272	1365	1215	1033	1064	1031
LOC105376687	1	0	5	1	0	2	2	0	0	3	0
RPL22	14005	11847	11610	10869	12044	10430	12398	11007	11650	9886	10676
LOC107985733	117	77	78	78	85	110	110	95	96	82	87
RNF207-AS1	19	12	24	10	12	18	31	20	16	26	8
RNF207	757	656	680	505	555	969	952	918	657	644	667
ICMT	2398	2192	2019	2435	2649	2166	2193	2091	2648	2383	2650
ICMT-DT	15	5	7	12	17	18	19	21	12	16	20
HES3	0	0	0	1	1	1	1	0	0	0	0
GPR153	476	389	449	457	403	622	667	577	481	462	535
ACOT7	2507	2247	2231	2445	2575	2456	2622	2219	2343	2213	2447
HES2	93	106	94	110	148	251	245	252	124	112	147
ESPN	27	24	20	39	33	158	127	98	38	45	37
MIR4252	0	0	0	0	1	0	0	0	0	0	0
TNFRSF25	326	275	289	311	336	563	570	438	362	350	304
PLEKHG5	1081	979	916	829	755	1512	1525	1223	827	926	850
NOL9	1156	1039	949	977	1055	879	913	948	1010	947	1026
TAS1R1	10	2	5	6	6	8	14	7	5	9	9
LOC107984912	0	0	1	0	0	0	1	1	0	1	0
ZBTB48	499	467	406	434	455	481	557	464	512	481	467
KLHL21	1160	984	972	891	1048	1339	1408	1208	1003	1075	1070
LOC107984913	13	3	6	11	16	29	40	35	9	19	9
PHF13	1066	960	874	1053	1156	1168	1304	1146	1230	1126	1207
THAP3	777	681	605	720	757	706	770	736	682	688	739
DNAJC11	2015	1634	1604	1747	1831	1564	1696	1594	1757	1610	1827
LINC01672	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	6	12	16	22	17	23	26	25	8	15	18
CAMTA1	1341	1194	1085	1215	1318	1251	1312	1212	1285	1154	1249
LOC105376692	0	0	0	1	0	0	2	2	0	0	2
CAMTA1-AS2	1	0	0	0	1	3	0	1	0	0	0
CAMTA1-AS1	1	0	0	2	2	7	4	1	6	2	4
LOC105376691	0	0	0	1	2	0	0	0	0	0	5
LOC105376689	55	53	43	52	63	74	87	63	60	70	61
VAMP3	2605	2260	2211	1802	2069	1778	2084	2173	2216	1959	2082
PER3	622	438	462	886	1015	1046	1254	1191	1016	1015	1023
UTS2	6	2	3	1	7	1	2	3	1	5	0
TNFRSF9	369	300	294	90	93	101	117	123	74	71	100
PARK7	6374	5486	5222	5813	6066	5445	6125	5410	5884	5263	5680
ERRFI1	26906	23509	22404	14695	15752	9639	11149	11245	13606	12901	12858
LOC107984915	19	15	32	7	8	9	6	13	8	4	8
LINC01714	22	17	15	4	6	7	8	8	6	11	6
LOC105376695	68	46	49	36	30	32	36	21	19	21	32
SLC45A1	710	617	596	307	362	429	415	357	298	318	287
RERE	1679	1407	1405	1202	1406	1522	1617	1531	1416	1313	1494
RERE-AS1	0	1	5	2	1	6	2	3	1	3	0
SNORD128	0	0	0	0	0	0	0	0	0	0	0
ENO1	59433	51152	49296	64468	65822	65236	70780	63861	64206	60305	63620
MIR6728	5	3	3	114	5	9	5	2	5	4	1
ENO1-AS1	12	6	13	8	14	21	18	23	6	9	10
LOC112268261	0	0	0	0	0	0	2	1	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	2	0	2	6	1	0	0	3
SLC2A5	0	0	0	1	2	3	5	3	3	0	0
GPR157	300	286	229	306	295	316	352	360	311	319	286
MIR34AHG	7	12	6	3	1	3	4	3	1	0	0
MIR34A	0	1	0	0	0	0	0	0	1	0	0
LNCTAM34A	1	1	0	1	0	0	0	0	0	0	0
H6PD	2662	2223	2311	1923	2164	3310	3609	3057	2401	2428	2431
SPSB1	319	276	265	304	350	644	672	577	371	357	404
LINC02606	28	14	14	21	13	20	25	15	10	20	23
SLC25A33	884	818	714	766	790	588	634	649	671	675	732
TMEM201	1169	1037	993	919	954	704	722	732	863	874	828
LOC107985734	52	56	40	58	59	52	46	46	56	46	58
LOC105376712	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	725	633	592	601	699	864	877	785	669	720	784
PIK3CD-AS1	0	0	0	0	0	1	0	0	0	0	0
PIK3CD-AS2	0	0	0	0	0	1	0	0	0	0	1
CLSTN1	4026	3662	3622	3544	3904	4627	4808	4226	4140	4097	4137
CTNNBIP1	443	455	443	382	473	604	678	585	521	471	490
LOC105376717	37	33	37	41	39	58	65	44	43	42	47
LZIC	655	606	587	703	784	575	643	798	766	691	786
NMNAT1	437	414	404	399	436	475	494	535	410	419	441
TMEM274P	6	4	2	3	1	6	5	2	2	1	1
MIR5697	1	1	2	3	3	3	1	2	0	0	2
RBP7	40	19	32	27	22	48	47	49	42	24	51
UBE4B	1739	1575	1414	1621	1763	1673	1904	1965	1877	1716	1790
KIF1B	2546	2260	2048	2222	2432	2734	3079	2981	2852	2694	2774
LOC105376725	5	2	1	5	3	5	3	1	2	7	3
PGD	5769	4921	4931	4644	5099	6555	7129	6288	5015	4799	5062
CENPS-CORT	185	143	147	172	198	150	167	190	205	184	203
CENPS	188	144	148	165	193	146	172	173	199	181	194
CORT	22	16	18	28	26	35	39	39	40	30	47
DFFA	6141	5423	5089	4883	5071	3638	4020	3895	4457	4316	4655
PEX14	655	580	596	590	570	733	685	535	581	580	621
CASZ1	359	312	288	368	376	768	738	677	356	427	366
LOC105376733	0	0	0	0	0	1	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	1	0	0	0	0
C1orf127	1	1	2	0	0	2	2	1	2	1	2
TARDBP	5332	4500	4361	5763	6166	4589	5295	5159	5952	5386	5725
MASP2	61	64	48	68	68	65	65	72	65	56	58
SRM	2901	2509	2310	2628	2634	1666	1814	1581	2257	2072	2298
EXOSC10	2808	2365	2366	2465	2547	2445	2579	2542	2659	2430	2589
EXOSC10-AS1	190	150	165	152	162	220	190	169	162	147	152
MTOR	4155	3614	3503	3064	3438	2912	3278	3105	3492	3416	3548
MTOR-AS1	105	98	85	76	96	73	75	75	96	93	97
ANGPTL7	0	3	5	0	0	2	1	1	0	1	1
UBIAD1	952	873	760	711	779	568	590	634	703	649	672
LOC105376737	0	0	0	0	0	0	0	0	0	0	0
LOC105376739	0	0	0	0	0	0	1	0	0	0	0
LOC105376740	0	1	0	0	2	0	1	2	1	2	0
DISP3	52	45	27	28	32	42	47	35	36	38	37
LOC112268221	5	3	6	3	6	3	4	7	2	4	5
LINC01647	0	0	0	0	2	0	1	0	4	3	0
FBXO2	809	735	700	1060	1079	2530	2676	2087	1234	1315	1265
FBXO44	1243	1098	1068	1504	1612	2379	2484	2031	1686	1661	1615
FBXO6	333	277	305	331	300	520	584	492	339	335	359
MAD2L2	1545	1383	1419	1378	1563	1448	1449	1363	1491	1374	1480
DRAXIN	1	1	1	2	0	3	1	4	0	0	1
AGTRAP	1089	955	946	916	1022	1109	1199	954	1020	1034	951
C1orf167	114	112	88	109	115	239	216	184	144	157	143
C1orf167-AS1	0	0	0	0	0	0	0	0	0	0	0
MTHFR	489	418	401	491	491	857	908	812	574	548	620
CLCN6	731	610	628	514	510	684	714	659	508	468	534
NPPA-AS1	99	95	96	76	76	124	122	128	100	86	79
NPPA	20	16	17	20	24	39	40	35	29	14	16
NPPB	0	0	0	0	0	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	0	0	1	1
KIAA2013	1321	1219	1127	1153	1187	1287	1323	1141	1199	1261	1246
PLOD1	3254	2808	2671	3184	3407	3997	4249	3710	3629	3260	3501
MFN2	4874	3999	3963	4080	4388	3755	3990	3560	4040	3825	4268
MIIP	755	659	663	608	679	655	604	550	584	597	630
MIR6729	1	2	3	4	4	4	7	4	4	4	3
TNFRSF8	1	0	0	0	1	0	2	1	0	2	1
MIR7846	20	14	19	15	19	14	8	14	10	9	15
TNFRSF1B	318	264	251	332	326	207	237	248	256	284	269
MIR4632	0	0	0	1	0	0	0	1	0	0	0
LOC107984917	0	0	0	1	0	1	0	0	0	1	0
VPS13D	1559	1412	1372	1336	1477	1581	1752	1668	1637	1433	1560
SNORA59A	10	8	11	8	10	14	7	9	5	5	14
LINC02766	0	0	0	1	0	2	1	2	1	5	2
DHRS3	502	508	461	67	50	184	177	154	76	71	82
MIR6730	1	2	0	1	0	2	1	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0
CFAP107	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	1	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	1
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0
LOC102724856	0	0	0	0	0	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0
LOC107984919	0	0	0	0	0	0	0	0	0	0	0
LOC105378612	0	0	0	0	0	0	0	0	1	0	0
LOC105376756	0	0	0	0	0	0	0	0	0	0	0
PRDM2	677	620	616	632	677	703	693	774	660	659	648
KAZN	488	421	414	295	305	302	344	232	291	266	300
LOC107985467	0	0	0	0	0	0	0	0	0	0	0
LOC107985468	0	0	0	0	0	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	1	0	0	0	0	0	0
LOC105376759	0	0	0	0	0	0	0	0	0	0	0
LOC107985469	0	1	0	0	0	1	0	0	0	0	0
TMEM51-AS1	5	6	7	7	6	15	14	11	15	8	10
TMEM51	172	132	120	140	168	156	137	145	162	168	183
TMEM51-AS2	1	0	1	0	0	1	0	2	0	0	0
FHAD1	2	8	1	5	6	2	3	4	2	5	5
FHAD1-AS1	2	1	1	4	1	1	1	0	1	0	1
EFHD2-AS1	20	25	20	20	24	24	22	16	17	13	14
EFHD2	1951	1660	1620	1773	1735	1412	1489	1313	1526	1529	1541
CTRC	2	3	3	2	3	2	0	0	3	0	2
CELA2A	0	0	6	0	0	0	0	1	0	0	0
LOC105376767	0	1	0	0	0	0	0	3	0	0	0
CELA2B	7	2	2	4	5	5	1	5	3	5	2
CASP9	320	238	225	178	185	273	324	245	263	202	251
DNAJC16	660	635	557	602	647	735	725	865	692	633	628
SCARNA21B	1	0	1	0	0	0	0	0	1	0	0
AGMAT	3	6	3	7	5	3	6	13	2	3	5
DDI2	1143	998	993	1200	1294	1029	1058	1179	1295	1088	1164
RSC1A1	128	131	138	127	153	122	128	144	152	153	151
PLEKHM2	2607	2217	2074	1884	2073	2313	2495	2123	2020	2052	2080
SLC25A34	26	23	25	29	37	70	80	61	37	51	53
SLC25A34-AS1	4	2	3	2	5	2	5	3	3	3	5
TMEM82	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	388	351	307	365	410	513	516	440	384	352	395
UQCRHL	116	86	88	95	98	82	107	89	100	71	74
SPEN-AS1	152	120	100	151	118	161	181	137	126	136	144
SPEN	2427	2161	2086	2443	2667	2505	2683	2636	2460	2473	2707
ZBTB17	612	492	528	504	584	690	713	629	538	554	572
SRARP	0	0	0	0	0	0	0	0	0	0	0
HSPB7	1	0	0	0	1	2	3	2	0	0	0
CLCNKA	0	1	2	1	2	0	0	0	2	0	1
CLCNKB	0	2	0	0	0	0	4	0	0	0	0
FAM131C	109	108	81	78	73	106	71	91	67	70	75
EPHA2	6668	5784	5723	4144	3990	1864	2052	1831	3502	3461	3452
EPHA2-AS1	79	74	74	40	46	29	36	33	36	68	40
ARHGEF19	1266	1158	1085	1191	1298	1245	1331	1105	1152	1088	1112
ANO7L1	13	11	12	21	21	46	60	55	34	21	29
CPLANE2	100	54	75	71	76	139	142	99	105	100	124
FBXO42	855	763	693	867	822	809	937	887	861	822	890
SZRD1	4353	3793	3775	3690	3819	2979	3343	2855	3648	3488	3805
SPATA21	2195	1957	1925	1794	1905	1391	1585	1393	1796	1710	1851
NECAP2	1405	1252	1190	1296	1378	1358	1342	1392	1332	1311	1325
LINC01772	27	29	23	25	25	40	30	45	24	29	40
CROCCP3	255	188	188	239	220	320	298	291	266	239	258
RNU1-1	1	1	0	0	0	5	7	5	1	1	2
TRN-GTT5-1	0	0	0	0	0	0	0	0	0	0	0
LINC01783	0	0	0	0	0	0	0	0	0	0	0
TRE-TTC4-1	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-1	0	0	0	0	0	0	0	0	0	0	0
NBPF1	1086	997	960	1321	1467	1532	1652	1617	1529	1525	1607
LOC105376794	1112	989	980	1087	1110	1025	1122	1024	1104	1052	1091
CROCCP2	512	470	468	479	470	511	496	438	493	458	502
MST1P2	45	44	32	41	23	82	77	81	46	39	30
LOC107985736	1	8	1	5	3	3	6	4	9	7	3
RNU1-3	1	1	0	1	1	4	4	3	0	2	3
TRG-CCC4-1	0	0	0	0	0	0	0	0	0	0	0
ESPNP	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC5-1	0	0	0	0	0	0	0	0	0	0	0
RNU1-4	0	1	0	1	2	5	4	3	0	2	2
MST1L	22	25	16	11	11	53	42	38	21	16	20
MIR3675	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0	0	0	0	0	0
LOC112267871	0	0	0	0	0	0	0	0	0	0	0
TRE-TTC3-1	0	0	0	0	0	0	0	0	0	0	0
TRN-GTT13-1	0	0	0	0	0	0	0	0	0	0	0
LOC105376805	76	62	66	72	87	86	99	71	57	56	58
TRN-GTT4-1	0	0	0	0	0	0	0	0	0	0	0
RNU1-2	0	0	0	4	2	2	1	2	1	1	1
CROCC	722	715	620	762	828	1144	1167	912	863	896	913
MFAP2	1	0	0	1	1	2	2	1	0	4	0
LOC105376806	0	0	0	0	0	0	0	0	0	0	0
ATP13A2	1025	846	914	855	888	940	1019	905	911	882	907
SDHB	2902	2641	2380	2214	2482	2122	2134	2085	2252	2164	2263
PADI2	3	3	1	2	1	7	6	3	3	0	5
LOC105376808	0	0	0	0	0	0	0	0	0	0	0
LINC02783	0	0	0	0	0	0	0	0	0	1	0
PADI1	0	0	0	0	0	2	0	0	0	0	0
PADI3	3	2	2	4	4	4	3	3	5	5	7
MIR3972	0	0	0	0	0	0	0	0	0	0	0
PADI4	0	2	0	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0	0	0	0
RCC2	6692	5947	5679	6278	6804	4926	5277	4992	6302	6008	6376
ARHGEF10L	367	303	279	270	287	355	382	313	320	328	332
LINC02810	0	0	0	0	0	0	0	0	0	0	0
ACTL8	1	1	3	0	0	0	3	0	0	1	0
LOC105376809	0	0	0	0	0	0	0	0	0	0	0
LOC105376812	0	0	0	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	0	0	0	0	0	1	4	0	0	0	0
PAX7	0	0	1	0	0	0	0	0	0	1	0
TAS1R2	0	0	0	0	0	0	0	0	0	0	0
ALDH4A1	1228	1157	1088	807	793	1177	1277	1080	815	915	909
MIR4695	0	0	0	0	0	0	1	0	0	0	0
MIR1290	0	2	1	3	0	0	1	0	0	0	1
